,time,Value,PM
95,2022-01-01 01:00:00,26,PM10
998,2022-01-01 02:00:00,28,PM10
1751,2022-01-01 03:00:00,23,PM10
1880,2022-01-01 04:00:00,22,PM10
2788,2022-01-01 05:00:00,24,PM10
3533,2022-01-01 06:00:00,21,PM10
3660,2022-01-01 07:00:00,24,PM10
4561,2022-01-01 08:00:00,24,PM10
5313,2022-01-01 09:00:00,29,PM10
5448,2022-01-01 10:00:00,35,PM10
6341,2022-01-01 11:00:00,42,PM10
7091,2022-01-01 12:00:00,44,PM10
7219,2022-01-01 13:00:00,44,PM10
8122,2022-01-01 14:00:00,40,PM10
8881,2022-01-01 15:00:00,40,PM10
9002,2022-01-01 16:00:00,40,PM10
9903,2022-01-01 17:00:00,43,PM10
10655,2022-01-01 18:00:00,49,PM10
10784,2022-01-01 19:00:00,42,PM10
11692,2022-01-01 20:00:00,35,PM10
12436,2022-01-01 21:00:00,40,PM10
12563,2022-01-01 22:00:00,38,PM10
13463,2022-01-01 23:00:00,38,PM10
14216,2022-01-02 00:00:00,25,PM10
14351,2022-01-02 01:00:00,40,PM10
15244,2022-01-02 02:00:00,35,PM10
15994,2022-01-02 03:00:00,33,PM10
16122,2022-01-02 04:00:00,34,PM10
17023,2022-01-02 05:00:00,34,PM10
17781,2022-01-02 06:00:00,35,PM10
17902,2022-01-02 07:00:00,35,PM10
18801,2022-01-02 08:00:00,38,PM10
19551,2022-01-02 09:00:00,35,PM10
19681,2022-01-02 10:00:00,38,PM10
20588,2022-01-02 11:00:00,46,PM10
21332,2022-01-02 12:00:00,58,PM10
21459,2022-01-02 13:00:00,58,PM10
22359,2022-01-02 14:00:00,53,PM10
23113,2022-01-02 15:00:00,44,PM10
23248,2022-01-02 16:00:00,38,PM10
24143,2022-01-02 17:00:00,39,PM10
24894,2022-01-02 18:00:00,34,PM10
25021,2022-01-02 19:00:00,25,PM10
25925,2022-01-02 20:00:00,24,PM10
26684,2022-01-02 21:00:00,25,PM10
26805,2022-01-02 22:00:00,26,PM10
27705,2022-01-02 23:00:00,26,PM10
28456,2022-01-03 00:00:00,25,PM10
28586,2022-01-03 01:00:00,25,PM10
29495,2022-01-03 02:00:00,22,PM10
30240,2022-01-03 03:00:00,21,PM10
30367,2022-01-03 04:00:00,20,PM10
31268,2022-01-03 05:00:00,21,PM10
32022,2022-01-03 06:00:00,19,PM10
32157,2022-01-03 07:00:00,21,PM10
33051,2022-01-03 08:00:00,22,PM10
33803,2022-01-03 09:00:00,25,PM10
33930,2022-01-03 10:00:00,27,PM10
34833,2022-01-03 11:00:00,0,PM10
35593,2022-01-03 12:00:00,77,PM10
35713,2022-01-03 13:00:00,61,PM10
36612,2022-01-03 14:00:00,41,PM10
37365,2022-01-03 15:00:00,37,PM10
37494,2022-01-03 16:00:00,30,PM10
38403,2022-01-03 17:00:00,30,PM10
39148,2022-01-03 18:00:00,28,PM10
39275,2022-01-03 19:00:00,27,PM10
40175,2022-01-03 20:00:00,22,PM10
40929,2022-01-03 21:00:00,21,PM10
41065,2022-01-03 22:00:00,21,PM10
41957,2022-01-03 23:00:00,23,PM10
42332,2022-01-04 00:00:00,35,PM10
43330,2022-01-04 01:00:00,25,PM10
43353,2022-01-04 02:00:00,28,PM10
44293,2022-01-04 03:00:00,29,PM10
45094,2022-01-04 04:00:00,29,PM10
45207,2022-01-04 05:00:00,30,PM10
46150,2022-01-04 06:00:00,31,PM10
46801,2022-01-04 07:00:00,35,PM10
46964,2022-01-04 08:00:00,36,PM10
47902,2022-01-04 09:00:00,42,PM10
48677,2022-01-04 10:00:00,41,PM10
48752,2022-01-04 11:00:00,43,PM10
49673,2022-01-04 12:00:00,55,PM10
50457,2022-01-04 13:00:00,60,PM10
50518,2022-01-04 14:00:00,56,PM10
51476,2022-01-04 15:00:00,49,PM10
52224,2022-01-04 16:00:00,44,PM10
52321,2022-01-04 17:00:00,42,PM10
53243,2022-01-04 18:00:00,35,PM10
54027,2022-01-04 19:00:00,35,PM10
54088,2022-01-04 20:00:00,36,PM10
55045,2022-01-04 21:00:00,37,PM10
55795,2022-01-04 22:00:00,35,PM10
55890,2022-01-04 23:00:00,36,PM10
56813,2022-01-05 00:00:00,54,PM10
57600,2022-01-05 01:00:00,31,PM10
57661,2022-01-05 02:00:00,30,PM10
58622,2022-01-05 03:00:00,35,PM10
59374,2022-01-05 04:00:00,37,PM10
59469,2022-01-05 05:00:00,35,PM10
60396,2022-01-05 06:00:00,36,PM10
61182,2022-01-05 07:00:00,38,PM10
61243,2022-01-05 08:00:00,45,PM10
62204,2022-01-05 09:00:00,50,PM10
62956,2022-01-05 10:00:00,55,PM10
63051,2022-01-05 11:00:00,74,PM10
63977,2022-01-05 12:00:00,75,PM10
64762,2022-01-05 13:00:00,74,PM10
64822,2022-01-05 14:00:00,59,PM10
65782,2022-01-05 15:00:00,60,PM10
66532,2022-01-05 16:00:00,57,PM10
66628,2022-01-05 17:00:00,59,PM10
67552,2022-01-05 18:00:00,56,PM10
68338,2022-01-05 19:00:00,72,PM10
68398,2022-01-05 20:00:00,74,PM10
69358,2022-01-05 21:00:00,79,PM10
70108,2022-01-05 22:00:00,60,PM10
70204,2022-01-05 23:00:00,57,PM10
71129,2022-01-06 00:00:00,59,PM10
71914,2022-01-06 01:00:00,56,PM10
71974,2022-01-06 02:00:00,48,PM10
72934,2022-01-06 03:00:00,47,PM10
73684,2022-01-06 04:00:00,42,PM10
73780,2022-01-06 05:00:00,41,PM10
74704,2022-01-06 06:00:00,39,PM10
75490,2022-01-06 07:00:00,39,PM10
75550,2022-01-06 08:00:00,42,PM10
76511,2022-01-06 09:00:00,53,PM10
77260,2022-01-06 10:00:00,63,PM10
77356,2022-01-06 11:00:00,67,PM10
78281,2022-01-06 12:00:00,63,PM10
79066,2022-01-06 13:00:00,56,PM10
79126,2022-01-06 14:00:00,61,PM10
80087,2022-01-06 15:00:00,64,PM10
80835,2022-01-06 16:00:00,58,PM10
80931,2022-01-06 17:00:00,62,PM10
81856,2022-01-06 18:00:00,51,PM10
82641,2022-01-06 19:00:00,55,PM10
82701,2022-01-06 20:00:00,54,PM10
83662,2022-01-06 21:00:00,53,PM10
84411,2022-01-06 22:00:00,56,PM10
84507,2022-01-06 23:00:00,59,PM10
85305,2022-01-07 00:00:00,39,PM10
86070,2022-01-07 01:00:00,59,PM10
86769,2022-01-07 02:00:00,47,PM10
86915,2022-01-07 03:00:00,52,PM10
87790,2022-01-07 04:00:00,54,PM10
88624,2022-01-07 05:00:00,60,PM10
88634,2022-01-07 06:00:00,57,PM10
89645,2022-01-07 07:00:00,64,PM10
90343,2022-01-07 08:00:00,63,PM10
90491,2022-01-07 09:00:00,67,PM10
91018,2022-01-07 10:00:00,71,PM10
92012,2022-01-07 11:00:00,92,PM10
92210,2022-01-07 12:00:00,106,PM10
92806,2022-01-07 13:00:00,108,PM10
93810,2022-01-07 14:00:00,70,PM10
94082,2022-01-07 15:00:00,54,PM10
95079,2022-01-07 16:00:00,52,PM10
95517,2022-01-07 17:00:00,45,PM10
96027,2022-01-07 18:00:00,50,PM10
96548,2022-01-07 19:00:00,59,PM10
97301,2022-01-07 20:00:00,59,PM10
97817,2022-01-07 21:00:00,50,PM10
98737,2022-01-07 22:00:00,41,PM10
98766,2022-01-07 23:00:00,42,PM10
99361,2022-01-08 00:00:00,117,PM10
100121,2022-01-08 01:00:00,36,PM10
100872,2022-01-08 02:00:00,37,PM10
101388,2022-01-08 03:00:00,40,PM10
102306,2022-01-08 04:00:00,37,PM10
102335,2022-01-08 05:00:00,40,PM10
103336,2022-01-08 06:00:00,39,PM10
103607,2022-01-08 07:00:00,42,PM10
104603,2022-01-08 08:00:00,40,PM10
105042,2022-01-08 09:00:00,50,PM10
105473,2022-01-08 10:00:00,53,PM10
106426,2022-01-08 11:00:00,67,PM10
106503,2022-01-08 12:00:00,70,PM10
107538,2022-01-08 13:00:00,75,PM10
107931,2022-01-08 14:00:00,62,PM10
108574,2022-01-08 15:00:00,63,PM10
109043,2022-01-08 16:00:00,53,PM10
110001,2022-01-08 17:00:00,50,PM10
110077,2022-01-08 18:00:00,48,PM10
111113,2022-01-08 19:00:00,70,PM10
111268,2022-01-08 20:00:00,93,PM10
112301,2022-01-08 21:00:00,103,PM10
112694,2022-01-08 22:00:00,109,PM10
113331,2022-01-08 23:00:00,117,PM10
